,age,education_number,marital,occupation,race,sex,capitalgain,capitalloss,hours,country,income
130,17,7,4,9,4,0,0,0,40,38,0
131,17,7,4,8,4,0,0,0,20,38,0
132,17,6,4,7,4,1,0,0,15,38,0
133,17,7,4,9,4,0,0,0,35,38,0
134,17,8,4,5,4,1,0,0,20,38,0
135,17,8,4,11,4,0,0,0,18,38,0
136,17,7,4,7,4,0,0,0,12,38,0
137,17,6,4,7,2,1,0,0,20,38,0
138,17,6,4,11,4,0,0,0,12,38,0
139,17,7,4,9,4,0,0,0,20,38,0
140,17,7,4,11,4,0,0,0,20,38,0
141,17,7,4,6,3,1,0,0,12,38,0
142,17,6,4,7,4,0,0,0,20,38,0
143,17,7,4,10,4,0,0,0,30,38,0
144,17,6,4,7,4,1,0,0,40,38,0
145,17,7,4,5,4,1,0,0,40,38,0
146,17,7,4,11,4,0,0,0,8,38,0
147,17,7,4,4,4,1,0,0,20,38,0
148,17,6,4,11,4,0,0,0,12,38,0
149,17,6,4,9,4,1,0,0,40,38,0
150,17,7,4,11,4,0,0,0,8,38,0
151,17,7,4,0,4,0,0,0,32,38,0
152,17,7,4,8,4,0,0,0,40,38,0
153,17,8,4,11,4,1,0,0,20,38,0
154,17,7,4,0,4,0,0,0,15,38,0
155,17,6,4,11,2,0,0,0,12,38,0
156,17,8,4,9,4,1,0,0,7,38,0
157,17,6,4,7,4,1,0,0,14,38,0
158,17,6,4,11,2,0,0,0,24,38,0
159,17,7,4,11,4,0,0,0,20,38,0
160,17,6,4,9,4,1,0,0,8,38,0
161,17,5,4,9,4,0,0,0,25,25,0
162,17,7,4,8,4,0,0,0,24,38,0
163,17,6,4,11,4,0,0,0,20,38,0
164,17,6,4,7,4,1,0,0,40,38,0
165,17,6,4,4,4,1,0,0,35,38,0
166,17,7,4,11,4,0,0,0,12,30,0
167,17,7,4,11,4,0,0,0,15,38,0
168,17,6,4,11,4,1,0,0,5,38,0
169,17,8,4,0,4,0,0,0,30,38,0
170,17,6,4,7,4,1,0,0,30,38,0
171,17,6,4,11,4,1,0,0,15,38,0
172,17,9,4,7,4,1,0,0,35,25,0
173,17,5,4,7,4,0,0,0,20,38,0
174,17,6,4,7,2,1,0,0,35,38,0
175,17,6,4,5,4,0,0,0,23,38,0
176,17,7,4,11,2,0,0,0,30,38,0
177,17,6,4,2,4,1,0,0,40,38,0
178,17,5,4,2,4,0,0,0,16,38,0
179,17,7,4,9,4,1,0,0,40,38,0
180,17,7,4,7,0,0,0,0,20,38,0
181,17,6,4,9,4,1,0,0,30,38,0
182,17,7,4,5,4,1,0,0,15,38,0
183,17,5,4,11,4,0,0,0,40,38,0
184,17,7,4,13,4,1,0,0,20,38,0
185,17,7,4,7,4,1,0,0,20,38,0
186,17,6,4,9,4,0,0,0,17,38,0
187,17,7,4,11,4,0,0,0,18,38,0
188,17,6,4,7,4,1,0,0,40,38,0
189,17,6,4,9,4,1,0,0,40,38,0
190,17,7,4,11,4,1,0,0,20,38,0
191,17,6,4,11,4,0,0,0,20,38,0
192,17,8,4,7,4,0,0,0,6,38,0
193,17,7,4,11,4,1,0,0,15,38,0
194,17,7,4,7,4,0,0,0,20,38,0
195,17,5,4,7,2,1,0,0,26,38,0
196,17,9,4,9,2,1,0,0,40,38,0
197,17,7,4,2,4,0,0,0,15,38,0
198,17,8,4,9,4,0,0,0,25,38,0
199,17,6,4,7,4,0,0,0,15,38,0
200,17,6,4,9,3,0,0,0,20,38,0
201,17,7,4,11,4,1,0,0,30,38,0
202,17,8,4,7,4,1,0,0,15,38,0
203,17,9,4,11,4,0,0,0,20,38,0
204,17,7,4,7,4,1,0,0,20,8,0
205,17,7,4,7,2,1,0,0,20,38,0
206,17,5,4,13,4,1,0,0,20,38,0
207,17,5,4,7,2,1,0,0,35,38,0
208,17,4,4,4,3,1,0,0,40,25,0
209,17,6,4,11,4,1,0,0,20,38,0
210,17,6,4,5,4,1,0,0,20,38,0
211,17,7,4,7,4,0,0,0,25,38,0
212,17,7,4,9,4,1,0,0,18,38,0
213,17,6,4,11,4,1,0,0,12,38,0
214,17,5,4,7,4,1,0,0,20,38,0
215,17,7,4,9,4,0,0,0,40,38,0
216,17,6,4,7,4,1,0,0,10,38,0
217,17,6,4,9,4,0,0,0,40,38,0
218,17,7,4,7,4,1,0,0,25,38,0
219,17,7,4,7,2,0,0,0,25,38,0
220,17,7,4,5,4,1,0,0,15,38,0
221,17,6,4,11,4,1,0,0,15,38,0
222,17,6,2,11,4,0,0,0,30,38,0
223,17,7,4,0,4,0,0,0,10,38,0
224,17,6,4,9,4,0,0,0,40,38,0
225,17,7,4,7,4,1,0,0,20,38,0
226,17,8,4,5,4,1,0,0,15,38,0
227,17,6,4,7,4,0,0,0,25,38,0
228,17,7,4,9,4,1,0,0,20,28,0
229,17,6,4,7,4,1,0,0,15,38,0
230,17,6,4,5,4,1,0,0,10,7,0
231,17,6,4,7,2,0,0,0,12,38,0
232,17,7,4,2,4,1,0,0,16,38,0
233,17,7,4,5,4,1,0,0,25,38,0
234,17,6,4,7,4,0,0,0,10,38,0
235,17,6,4,9,4,1,0,0,40,38,0
236,17,7,4,9,4,0,0,0,8,38,0
237,17,6,4,7,4,1,0,0,30,38,0
238,17,7,4,11,4,1,0,0,20,38,0
239,17,7,4,11,4,0,0,0,8,38,0
240,17,6,4,9,3,0,0,0,15,38,0
241,17,5,4,7,4,0,0,0,35,38,0
242,17,6,4,9,4,1,0,0,30,38,0
243,17,6,4,7,4,0,0,0,30,38,0
244,17,5,4,7,4,0,0,0,20,38,0
245,17,7,4,5,4,1,0,0,16,38,0
246,17,6,4,7,4,0,0,0,14,38,0
247,17,6,4,7,4,1,0,0,16,38,0
248,17,7,4,0,4,0,0,0,16,38,0
249,17,7,4,7,4,1,0,0,20,38,0
250,17,8,4,9,3,0,0,0,40,38,0
251,17,7,4,11,4,0,0,0,15,38,0
252,17,6,4,7,4,1,0,0,25,38,0
253,17,7,4,5,4,1,0,0,10,38,0
254,17,8,4,5,4,1,0,0,20,38,0
255,17,6,4,0,4,0,0,0,20,38,0
256,17,7,4,7,4,0,0,0,30,38,0
257,17,6,4,7,4,1,0,0,40,25,0
258,17,6,4,9,4,1,0,0,12,38,0
259,17,8,4,11,4,0,0,0,23,38,0
260,17,8,4,7,4,1,0,0,16,38,0
261,17,6,4,11,4,0,0,0,20,38,0
262,17,7,4,8,4,0,0,0,25,38,0
263,17,8,4,9,4,0,0,0,40,38,0
264,17,6,4,7,4,1,0,0,8,38,0
265,17,7,4,11,4,0,0,0,15,38,0
266,17,7,4,11,4,0,0,0,13,38,0
267,17,5,4,2,4,1,0,0,40,38,0
268,17,7,4,11,4,0,0,0,9,38,0
269,17,7,4,11,4,0,0,0,16,38,0
270,17,7,4,9,2,1,0,0,15,38,0
271,17,8,4,0,4,0,0,0,12,38,0
272,17,6,4,9,4,0,0,0,4,38,0
273,17,7,4,0,4,0,0,0,20,38,0
274,17,7,4,9,4,1,0,0,40,38,0
275,17,7,4,7,4,0,0,0,20,38,0
276,17,7,4,13,4,0,0,0,16,38,0
277,17,5,4,7,4,0,0,0,20,38,0
278,17,7,4,9,2,0,0,0,40,38,0
279,17,7,4,9,4,0,0,0,20,38,0
280,17,6,4,7,4,0,0,0,15,38,0
281,17,7,4,5,4,0,0,0,16,38,0
282,17,7,4,2,4,1,0,0,30,38,0
283,17,6,4,9,4,1,0,0,6,38,0
284,17,7,4,5,4,1,0,0,40,1,0
285,17,8,4,11,4,0,0,0,20,38,0
286,17,7,4,5,4,1,0,0,30,38,0
287,17,6,4,5,4,1,0,0,20,38,0
288,17,6,4,7,4,1,0,0,15,38,0
289,17,6,4,7,4,0,0,0,25,38,0
290,17,6,4,7,4,0,0,0,10,38,0
291,17,7,4,11,4,1,0,0,15,38,0
292,17,6,4,7,2,1,0,0,15,38,0
293,17,6,4,7,4,1,0,0,15,38,0
294,17,8,4,11,4,0,0,0,20,38,0
295,17,6,4,9,4,0,0,0,20,38,0
296,17,7,4,9,4,0,0,0,25,38,0
297,17,9,4,0,4,1,0,0,20,38,0
298,17,7,4,5,4,1,0,0,20,28,0
299,17,6,4,5,4,1,0,0,20,38,0
300,17,6,4,7,4,1,0,0,18,38,0
301,17,7,4,0,4,1,0,0,16,38,0
302,17,7,4,2,4,1,0,0,20,38,0
303,17,7,4,7,4,1,0,0,20,38,0
304,17,7,4,7,4,1,0,0,15,38,0
305,17,8,4,11,4,0,0,0,6,38,0
306,17,8,4,9,4,1,0,0,20,38,0
307,17,6,4,7,4,1,0,0,12,38,0
308,17,5,4,7,2,0,0,0,40,38,0
309,17,6,4,9,4,1,0,0,40,38,0
310,17,6,4,11,4,0,0,0,20,38,0
311,17,6,4,11,4,0,0,0,20,38,0
312,17,7,4,9,4,1,0,0,10,38,0
313,17,7,4,0,4,1,0,0,40,38,0
314,17,6,4,9,4,1,0,0,30,38,0
315,17,7,4,9,4,1,0,0,40,38,0
316,17,7,4,10,4,1,0,0,30,38,0
317,17,7,4,5,2,0,0,0,15,38,0
318,17,8,4,5,4,1,0,0,15,38,0
319,17,5,4,11,2,1,0,0,22,38,0
320,17,6,4,9,4,1,0,0,40,38,0
321,17,7,4,7,4,0,0,0,12,38,0
322,17,7,4,7,4,0,0,0,12,38,0
323,17,7,4,11,4,0,0,0,16,38,0
324,17,6,4,11,4,1,0,0,30,38,0
325,17,5,4,6,4,1,0,0,20,38,0
326,17,7,4,7,4,0,0,0,5,38,0
327,17,5,4,11,3,0,0,0,32,25,0
328,17,6,4,11,4,0,0,0,12,38,0
329,17,7,4,5,4,1,0,0,17,38,0
330,17,8,4,7,4,0,0,0,16,38,0
331,17,6,4,8,4,1,0,0,30,38,0
332,17,8,4,7,4,0,0,0,30,38,0
333,17,6,4,7,4,1,0,0,15,38,0
334,17,6,4,7,4,1,0,0,20,38,0
335,17,7,4,7,4,1,0,0,25,38,0
336,17,7,4,9,2,0,0,0,20,38,0
337,17,7,4,5,4,1,0,0,15,38,0
338,17,7,4,5,4,1,0,0,12,38,0
339,17,6,4,7,4,1,0,0,20,38,0
340,17,6,4,9,2,1,0,0,20,38,0
341,17,7,4,5,4,1,0,0,12,38,0
342,17,6,4,11,2,0,0,0,15,38,0
343,17,7,4,11,4,1,0,0,30,38,0
344,17,7,4,11,4,1,0,0,20,38,0
345,17,6,4,11,4,0,0,0,10,38,0
346,17,7,4,11,2,0,0,0,15,38,0
347,17,7,4,11,4,0,0,0,15,38,0
348,17,7,4,0,4,0,0,0,8,38,0
349,17,7,4,2,4,1,0,0,35,38,0
350,17,6,4,5,4,1,0,0,10,38,0
351,17,10,4,2,4,1,0,0,16,38,0
352,17,7,4,5,4,1,0,0,16,38,0
353,17,4,4,11,4,1,0,0,8,38,0
354,17,6,4,11,4,0,0,0,16,38,0
355,17,5,4,7,4,1,0,0,16,38,0
356,17,6,4,11,4,0,0,0,5,38,0
357,17,6,4,7,4,0,0,0,25,38,0
358,17,7,4,7,4,0,0,0,15,38,0
359,17,6,4,7,4,1,0,0,20,38,0
360,17,7,4,7,4,0,0,0,20,38,0
361,17,7,4,7,4,0,0,0,20,38,0
362,17,7,4,5,4,1,0,0,10,38,0
363,17,7,4,7,4,0,0,0,20,38,0
364,17,6,4,7,4,0,0,0,15,38,0
365,17,7,4,0,4,0,0,0,23,38,0
366,17,7,4,11,4,0,0,0,20,38,0
367,17,7,4,7,4,0,0,0,22,38,0
368,17,6,4,9,4,1,0,0,20,38,0
369,17,7,4,9,2,1,0,0,8,38,0
370,17,7,4,0,4,0,0,0,12,38,0
371,17,6,4,5,4,1,0,0,26,38,0
372,17,7,4,9,4,0,0,0,30,38,0
373,17,6,4,9,4,1,0,0,25,38,0
374,17,7,4,9,4,0,0,0,10,38,0
375,17,7,4,5,0,1,0,0,20,38,0
376,17,5,4,7,2,1,0,0,40,38,0
377,17,7,4,9,4,0,0,0,20,38,0
378,17,6,4,8,4,1,0,0,30,38,0
379,17,8,4,7,4,1,0,0,35,38,0
380,17,5,4,7,4,1,0,0,45,38,0
381,17,7,4,7,2,1,0,0,17,38,0
382,17,6,4,7,4,0,0,0,12,38,0
383,17,7,4,9,4,0,0,0,15,38,0
384,17,6,4,9,2,0,0,0,40,38,0
385,17,7,4,11,4,1,0,0,5,38,0
386,17,7,4,5,4,1,0,0,30,38,0
387,17,6,4,11,4,0,0,0,24,38,0
388,17,7,4,8,4,0,0,0,12,38,0
389,17,6,4,9,4,0,0,0,20,38,0
390,17,6,4,9,4,0,0,0,15,38,0
391,17,8,4,0,4,0,0,0,25,38,0
392,17,9,4,3,4,0,0,0,35,38,0
393,17,7,4,7,4,1,0,0,25,38,0
394,17,6,4,7,4,1,0,0,20,38,0
395,18,9,4,11,4,0,0,1721,40,38,0
396,18,10,4,7,4,1,0,1721,20,38,0
397,18,9,4,5,4,0,0,1719,15,38,0
398,18,10,4,9,4,0,0,1602,20,38,0
399,18,7,4,9,2,1,0,1602,48,38,0
400,18,7,4,5,4,1,0,1602,40,38,0
401,18,10,4,9,4,0,0,1602,24,38,0
402,18,7,4,7,2,1,0,1602,23,38,0
403,18,10,4,9,2,0,0,1602,40,0,0
404,18,10,4,5,2,0,0,1602,35,38,0
405,18,7,4,11,2,0,0,1602,20,38,0
406,18,10,4,0,4,1,0,1602,15,38,0
407,18,9,4,9,4,0,0,1602,20,38,0
408,18,9,4,9,1,0,0,1602,38,38,0
409,18,9,4,11,4,0,0,1602,20,38,0
410,18,9,4,10,4,1,34095,0,3,38,0
411,18,9,2,8,4,0,3103,0,40,38,0
412,18,10,4,13,4,1,2907,0,30,38,0
413,18,9,4,5,4,1,2176,0,25,38,0
414,18,10,4,11,4,0,2176,0,35,38,0
415,18,10,4,11,4,1,2176,0,40,38,0
416,18,10,4,12,4,1,2176,0,20,38,0
417,18,7,4,7,4,1,1055,0,20,38,0
418,18,9,4,11,4,0,1055,0,30,38,0
419,18,9,4,13,4,1,1055,0,25,38,0
420,18,10,4,9,4,0,594,0,15,38,0
421,18,5,4,5,4,1,594,0,40,38,0
422,18,7,4,5,4,1,594,0,30,38,0
423,18,10,4,9,4,1,594,0,10,38,0
424,18,8,4,2,4,1,594,0,20,38,0
425,18,7,4,7,4,0,594,0,4,38,0
426,18,8,4,11,4,1,594,0,14,38,0
427,18,9,4,7,4,0,0,0,30,38,0
428,18,7,4,7,4,0,0,0,22,38,0
429,18,9,4,11,4,1,0,0,30,38,0
430,18,7,4,5,4,1,0,0,16,38,0
431,18,9,4,7,4,1,0,0,12,38,0
432,18,7,4,11,4,0,0,0,40,38,0
433,18,9,4,11,4,0,0,0,40,38,0
434,18,8,4,9,4,1,0,0,25,38,0
435,18,7,4,7,4,1,0,0,40,38,0
436,18,7,4,0,4,0,0,0,5,38,0
437,18,7,4,7,4,1,0,0,25,38,0
438,18,8,4,6,4,1,0,0,30,38,0
439,18,10,4,9,4,1,0,0,33,38,0
440,18,7,4,0,4,0,0,0,20,38,0
441,18,9,4,7,4,0,0,0,45,38,0
442,18,9,4,7,4,0,0,0,20,38,0
443,18,9,4,6,4,0,0,0,40,5,0
444,18,8,4,5,4,1,0,0,6,38,0
445,18,10,4,11,4,1,0,0,16,38,0
446,18,10,4,7,4,0,0,0,15,38,0
447,18,9,4,7,4,0,0,0,8,38,0
448,18,7,4,0,4,0,0,0,25,38,0
449,18,7,4,7,2,1,0,0,20,38,0
450,18,7,4,9,4,0,0,0,40,38,0
451,18,7,4,9,4,1,0,0,27,38,0
452,18,7,4,9,4,1,0,0,15,38,0
453,18,10,4,11,4,0,0,0,40,38,0
454,18,7,4,0,4,1,0,0,40,38,0
455,18,7,4,2,4,1,0,0,20,38,0
456,18,8,4,10,4,1,0,0,40,38,0
457,18,6,4,5,4,1,0,0,27,38,0
458,18,7,4,11,0,0,0,0,25,38,0
459,18,9,4,11,4,0,0,0,24,38,0
460,18,7,4,9,4,1,0,0,36,38,0
461,18,10,0,7,4,1,0,0,15,38,0
462,18,7,4,7,4,1,0,0,20,38,0
463,18,6,4,11,4,1,0,0,10,38,0
464,18,8,4,9,4,1,0,0,30,38,0
465,18,9,4,9,4,1,0,0,10,38,0
466,18,10,4,11,4,0,0,0,15,38,0
467,18,8,4,11,4,0,0,0,35,38,0
468,18,10,4,11,4,0,0,0,20,38,0
469,18,9,4,7,4,0,0,0,30,38,0
470,18,9,4,9,3,0,0,0,12,38,0
471,18,10,4,7,4,1,0,0,20,38,0
472,18,7,4,11,4,1,0,0,35,38,0
473,18,7,4,7,2,1,0,0,15,38,0
474,18,10,4,11,4,0,0,0,20,38,0
475,18,9,4,7,2,1,0,0,36,38,0
476,18,9,4,0,2,1,0,0,40,38,0
477,18,7,4,11,4,0,0,0,20,38,0
478,18,10,4,9,4,1,0,0,40,38,0
479,18,9,4,11,4,0,0,0,28,38,0
480,18,7,4,7,2,1,0,0,30,38,0
481,18,10,4,9,4,1,0,0,40,38,0
482,18,9,4,11,4,0,0,0,40,38,0
483,18,7,4,7,4,0,0,0,20,38,0
484,18,8,4,2,4,1,0,0,10,38,0
485,18,8,4,7,4,0,0,0,25,38,0
486,18,7,4,9,4,1,0,0,40,38,0
487,18,10,4,7,4,0,0,0,25,38,0
488,18,10,4,11,4,0,0,0,20,38,0
489,18,7,4,6,4,1,0,0,55,38,0
490,18,8,4,11,4,1,0,0,24,38,0
491,18,10,4,7,4,1,0,0,16,38,0
492,18,7,4,9,4,1,0,0,25,38,0
493,18,10,4,7,4,0,0,0,40,38,0
494,18,9,4,11,4,0,0,0,15,38,0
495,18,7,4,7,4,0,0,0,8,38,0
496,18,9,4,5,4,1,0,0,40,38,0
497,18,9,4,4,4,1,0,0,40,38,0
498,18,7,4,3,4,1,0,0,20,38,0
499,18,8,4,0,4,1,0,0,40,38,0
500,18,10,4,9,4,0,0,0,20,38,0
501,18,10,4,9,4,0,0,0,40,38,0
502,18,7,2,5,4,1,0,0,40,38,0
503,18,8,4,11,4,0,0,0,24,38,0
504,18,7,4,2,4,1,0,0,35,38,0
505,18,8,4,0,4,1,0,0,12,38,0
506,18,7,4,5,4,1,0,0,12,38,0
507,18,7,4,7,4,1,0,0,20,33,0
508,18,6,4,9,4,1,0,0,40,38,0
509,18,6,4,9,4,1,0,0,40,38,0
510,18,7,4,11,4,0,0,0,10,38,0
511,18,7,4,11,4,1,0,0,20,38,0
512,18,6,4,9,4,0,0,0,30,38,0
513,18,10,4,0,4,0,0,0,20,38,0
514,18,6,4,7,4,1,0,0,6,38,0
515,18,6,4,7,4,1,0,0,11,38,0
516,18,7,4,7,4,0,0,0,16,38,0
517,18,9,4,0,4,0,0,0,20,38,0
518,18,7,4,4,4,1,0,0,30,38,0
519,18,9,4,11,1,0,0,0,40,38,0
520,18,7,4,7,4,0,0,0,24,38,0
521,18,6,4,11,4,0,0,0,35,38,0
522,18,7,4,7,4,0,0,0,4,38,0
523,18,8,4,11,4,0,0,0,20,38,0
524,18,9,4,11,4,1,0,0,20,38,0
525,18,7,4,7,4,1,0,0,8,38,0
526,18,6,4,4,4,1,0,0,36,38,0
527,18,10,4,9,4,0,0,0,6,38,0
528,18,10,4,5,4,1,0,0,30,38,0
529,18,10,4,9,4,1,0,0,40,38,0
530,18,7,4,7,2,1,0,0,20,38,0
531,18,7,4,11,4,1,0,0,13,38,0
532,18,10,4,11,4,0,0,0,15,38,0
533,18,9,4,9,4,0,0,0,35,38,0
534,18,7,4,11,3,0,0,0,20,38,0
535,18,10,4,9,4,0,0,0,40,38,0
536,18,6,4,6,4,1,0,0,30,38,0
537,18,9,4,5,4,1,0,0,20,38,0
538,18,7,4,5,4,1,0,0,12,38,0
539,18,10,4,9,4,1,0,0,60,38,0
540,18,10,4,2,4,1,0,0,30,38,0
541,18,9,4,0,4,1,0,0,20,38,0
542,18,9,4,9,4,1,0,0,60,38,0
543,18,5,4,7,2,1,0,0,15,38,0
544,18,7,4,0,2,1,0,0,20,38,0
545,18,7,4,11,2,0,0,0,10,38,0
546,18,8,4,11,4,0,0,0,20,38,0
547,18,9,4,0,4,0,0,0,25,38,0
548,18,7,4,11,4,0,0,0,8,25,0
549,18,9,4,7,4,1,0,0,20,38,0
550,18,7,4,7,4,1,0,0,40,38,0
551,18,10,4,7,4,0,0,0,30,38,0
552,18,7,4,5,4,1,0,0,15,38,0
553,18,8,4,9,4,0,0,0,25,38,0
554,18,7,4,9,4,1,0,0,40,38,0
555,18,7,4,7,2,1,0,0,8,38,0
556,18,9,4,11,4,1,0,0,30,38,0
557,18,9,4,9,2,0,0,0,25,38,0
558,18,9,4,5,4,1,0,0,22,38,0
559,18,8,4,7,4,0,0,0,32,38,0
560,18,5,4,11,3,0,0,0,32,38,0
561,18,6,4,5,4,1,0,0,40,38,0
562,18,8,4,7,4,1,0,0,27,38,0
563,18,7,4,13,4,1,0,0,16,38,0
564,18,9,4,4,4,1,0,0,11,38,0
565,18,9,4,9,4,0,0,0,20,38,0
566,18,9,4,11,4,0,0,0,22,38,0
567,18,9,4,5,4,1,0,0,40,38,0
568,18,9,4,7,1,0,0,0,30,18,0
569,18,10,4,11,4,0,0,0,15,38,0
570,18,8,4,9,1,0,0,0,24,10,0
571,18,9,4,9,4,0,0,0,35,38,0
572,18,9,4,7,4,1,0,0,25,38,0
573,18,7,4,7,4,0,0,0,19,38,0
574,18,10,4,9,4,0,0,0,40,38,0
575,18,10,4,11,4,0,0,0,25,38,0
576,18,6,4,7,4,1,0,0,20,38,0
577,18,9,4,11,4,0,0,0,38,38,0
